"","Respond.ID","sr","trMiddle","trlast8","trfirst8","condition","difference","disMiddle","percentage","Duration..in.seconds.","condition.1","concern","frequency","sources","list","subjective","encounter","exhaustion","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","partisanship.","X.Partisanship2","age","gender","gender2","Warwick_ResponseID","tr80"
"1","R_0Ds7y7OhWORS2Bj",2.54545454545455,0.4609375,0.82,0.65,"more fake ",0.17,0.734375,76.25,1109,"more fake ",2,1,0,"I don't make an effort to follow news",35,70,3,1,1,2,1,4,2,2,4,4,3,4,"Independent","",19,"Male",NA,"270df5f9210e78396168",0.51575
"2","R_10BKzX1uaWwjp1q",2.81818181818182,0.7801809210625,0.88,0.7364473685,"all true",0.1435526315,0.65625,65.625,573,"all true",4,4,3,"Newspaper, web, tv",60,47,2,3,2,1,3,2,2,4,2,3,5,4,"Independent","",18,"Female",NA,"280a476b577e1df31e38",0.7857894737
"3","R_10ovRcb7CoNIYpy",2.90909090909091,0.414919354828125,0.6175,0.43571428575,"more fake ",0.18178571425,0.5859375,63.125,2077,"more fake ",3,1,1,"BBC news",30,60,4,4,3,4,1,2,2,2,4,2,4,4,"Democrat","",18,"Female",NA,"34e8eed80a2dc7ddb298",0.4372569124375
"4","R_11aMR7aEOKeSxep",2.18181818181818,0.2353125,0.4825,0.515,"more fake ",-0.0325,0.859375,86.25,1103,"more fake ",4,3,2,"daily mail, telegraph",24,67,4,2,2,4,1,1,1,3,3,2,1,4,"Democrat","",18,"Female",NA,"ebcf4a5cf62abb59f02a",0.288
"5","R_129EwmV151VOeqE",2.09090909090909,0.2953125,0.6,0.695,"more fake ",-0.095,0.890625,85,3222,"more fake ",3,1,1,"bbc",60,64,4,2,2,4,1,1,1,4,2,2,2,2,"Democrat","",19,"Female",NA,"e7ae7c588f6fbcb41b6d",0.36575
"6","R_1BPzH66PsTV75il",3,0.599592563296875,0.4775,0.465,"all true",0.0125,0.484375,48.75,761,"all true",3,2,1,"BBC news via google",80,68,5,4,4,4,1,2,2,4,5,1,2,4,"Democrat","",18,"Female",NA,"deef03f3210e7712403f",0.5739240506375
"7","R_1BWPfcI5CZ1vUXd",2,0.6734375,0.6325,0.5375,"all true",0.095,0.640625,63.75,1393,"all true",2,2,3,"BBC, The Financial Times, The Telegraph",20,40,3,2,2,4,1,1,1,1,4,1,3,2,"Republican","",19,"Female",NA,"2f6000fe79bb72687b17",0.65575
"8","R_1CEkykdkI456NoM",2.63636363636364,0.405,0.56,0.4875,"more fake ",0.0725000000000001,0.703125,65,1054,"more fake ",2,2,2,"bbc, gov.uk",64,71,5,2,3,4,2,1,1,2,5,1,3,5,"Other","",18,"Female",NA,"e7b2bfcd1e35f0028657",0.42875
"9","R_1duxXtlLwfxENoX",2.90909090909091,0.5221875,0.555,0.48,"more fake ",0.0750000000000001,0.59375,56.25,2197,"more fake ",3,3,2,"BBC news, apple news ",43,75,5,5,2,4,2,4,3,3,2,2,2,3,"Independent","",18,"Female",NA,"0298f2c84d79c0e6434c",0.52125
"10","R_1E58qwr4ZM4e90w",2.81818181818182,0.5296875,0.7725,0.75928571425,"more fake ",0.0132142857499999,0.7109375,66.25,2074,"more fake ",4,3,2,"BBC, Sky News",40,39,4,4,3,4,3,1,3,4,3,2,2,2,"Independent","",19,"Female",NA,"213b00fce501560e8e07",0.576928571425
"11","R_1ff6cVvpKRGMfq2",3,0.2781045081875,0.525,0.58,"more fake ",-0.0549999999999999,0.828125,81.25,1391,"more fake ",4,1,2,"BBC,sky news,youtube",72,81,5,3,4,5,1,1,2,3,4,3,3,4,"Other","i am not sure",18,"Female",NA,"7269aa44cf770b89210e",0.33298360655
"12","R_1gvwtqC2kHU4fie",3,0.428125,0.4375,0.3975,"more fake ",0.04,0.640625,67.5,758,"more fake ",5,3,2,"bbc news, the sun",25,59,5,5,2,4,1,1,2,4,4,2,4,4,"Democrat","",19,"Female",NA,"f9321fa60fcd0a31b44a",0.426
"13","R_1hKKTBWbZvPg2pW",3.09090909090909,0.81571428575,0.6525,0.5475,"more fake ",0.105,0.171875,26.25,561,"more fake ",2,1,2,"newspapers and journal articles",NA,13,5,3,3,4,4,2,3,2,4,3,3,3,"Other","",18,"Female",NA,"463045cf9fff046fd227",0.7725714286
"14","R_1i5psvwCQACYLGh",3.27272727272727,0.5071875,0.5475,0.61,"more fake ",-0.0625,0.796875,77.5,1213,"more fake ",3,2,2,"BBC, CNN",30,50,2,4,4,4,2,2,3,3,3,3,4,4,"Other","-",20,"Female",NA,"60fd50170d223c13b0e8",0.5215
"15","R_1ietxnGTxz5AG7j",2.72727272727273,0.525799050640625,0.3475,0.5575,"all true",-0.21,0.484375,45,1924,"all true",3,2,2,"""bbc news"", ""instagram""",45,60,4,4,4,4,1,1,2,2,4,2,2,4,"Democrat","",19,"Female",NA,"58aa31ddc57256ce2f4b",0.5111392405125
