Duration (in seconds),Response ID,condition,concern,frequency,sources,list,subjective ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,encounter,exhaustion ,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,"partisanship
","
Partisanship2",age,gender,gender2,Warwick_ResponseID,,true50-1.1 - Display Order,fake100-1.2 - Display Order,true50-1.3 - Display Order,true100-2 - Display Order,true16-3.1 - Display Order,fake100-3.2 - Display Order,true68-3.3 - Display Order,true16-3.4 - Display Order
573,R_10BKzX1uaWwjp1q,All True,4,4,3,"Newspaper, web, tv",60,58,42,57,51,56,56,59,55,57,53,71,59,43,59,65,26,54,47,54,96,56,50,56,40,44,41,40,41,55,21,55,40,44,75,58,54,55,2,57,55,60,68,45,48,55,55,38,64,46,44,28,57,63,51,55,63,43,98,44,34,51,37,45,63,65,57,18,40,53,98,56,57,57,46,54,55,52,52,52,52,47,2,3,2,1,3,2,2,4,2,3,5,4,Independent,,18,Female,,280a476b577e1df31e38,,,,,Q357|Q387|Q391|Q359|Q367|Q318|Q353|Q344|Q388|Q405|Q392|Q363|Q399|Q376|Q336|Q389|Q368|Q334|Q329|Q396|Q384|Q340|Q393|Q395|Q333|Q407|Q326|Q351|Q346|Q369|Q406|Q348|Q375|Q320|Q324|Q381|Q377|Q383|Q370|Q349|Q352|Q382|Q327|Q355|Q330|Q332|Q385|Q380|Q317|Q338|Q371|Q412|Q390|Q339|Q358|Q365|Q373|Q410|Q404|Q356|Q394|Q315|Q372|Q361|Q364|Q411|Q408|Q354|Q362|Q402|Q342|Q398|Q325|Q386|Q316|Q345|Q347|Q321|Q331|Q374,,,,
758,R_1gvwtqC2kHU4fie,More Fake,5,3,2,"bbc news, the sun",25,88,69,33,89,83,81,89,75,76,33,23,0,20,88,33,28,72,5,14,59,64,5,11,52,27,13,20,20,11,32,17,26,9,19,6,3,12,65,8,64,15,25,15,67,78,29,23,69,33,9,76,63,17,78,34,13,65,16,23,91,11,15,80,33,66,81,11,72,73,63,7,92,32,100,77,85,71,89,29,64,59,5,5,2,4,1,1,2,4,4,2,4,4,Democrat,,19,Female,,f9321fa60fcd0a31b44a,,Q53|Q35|Q61|Q29|Q62|Q34|Q47|Q26,Q172|Q197|Q125|Q158|Q171|Q213|Q178|Q149|Q179|Q115|Q173|Q145|Q136|Q195|Q184|Q192|Q119|Q210|Q169|Q161|Q130|Q202|Q117|Q135|Q180|Q137|Q148|Q199|Q204|Q181|Q121|Q150|Q163|Q189|Q209|Q153|Q128|Q188|Q183|Q198|Q174|Q131|Q152|Q185|Q162|Q193|Q139|Q133|Q212|Q166|Q182|Q155|Q201|Q176|Q208|Q164|Q165|Q206|Q211|Q205|Q129|Q142|Q190|Q203,Q291|Q290|Q270|Q272|Q288|Q303|Q310|Q313,,,,,
1054,R_2uPuxIQkPYMb0IU,All True,3,3,3,"BBC news app, Guardian social media, other news social media sites such as SYSCA",50,71,39,39,75,82,78,69,57,69,81,32,36,65,39,82,81,62,63,35,23,66,67,63,63,34,69,66,24,73,30,73,63,34,74,66,71,31,77,9,34,68,73,69,26,100,85,69,79,16,65,57,67,65,79,31,59,27,58,76,68,90,63,61,71,63,78,68,35,15,61,75,89,64,88,75,77,71,77,76,29,40,4,2,2,4,1,1,2,2,2,3,4,4,Other,,18,Female,,ff030600d503f187daba,,,,,Q387|Q372|Q349|Q332|Q316|Q389|Q320|Q382|Q344|Q350|Q359|Q375|Q403|Q328|Q352|Q343|Q353|Q363|Q369|Q329|Q370|Q334|Q378|Q357|Q409|Q368|Q397|Q354|Q383|Q338|Q405|Q330|Q331|Q333|Q337|Q340|Q324|Q373|Q367|Q406|Q366|Q396|Q315|Q325|Q386|Q327|Q393|Q318|Q388|Q392|Q395|Q374|Q400|Q381|Q408|Q358|Q319|Q360|Q364|Q339|Q413|Q401|Q346|Q407|Q390|Q385|Q321|Q341|Q379|Q394|Q410|Q345|Q348|Q323|Q351|Q326|Q384|Q399|Q377|Q380,,,,
761,R_1BPzH66PsTV75il,All True,3,2,1,BBC news via google,80,17,79,60,62,19,30,100,69,62,30,54,72,82,62,72,11,66,61,60,76,72,33,7,27,24,19,70,28,32,7,24,60,38,25,66,55,72,19,13,33,21,23,58,64,36,73,73,20,65,27,29,63,63,65,3,32,23,33,74,61,67,30,47,66,28,71,35,27,24,26,78,34,72,75,18,65,67,25,42,46,68,5,4,4,4,1,2,2,4,5,1,2,4,Democrat,,18,Female,,deef03f3210e7712403f,,,,,Q328|Q357|Q323|Q331|Q321|Q381|Q377|Q412|Q333|Q334|Q351|Q350|Q327|Q405|Q391|Q341|Q320|Q386|Q326|Q356|Q375|Q392|Q388|Q348|Q390|Q363|Q407|Q342|Q368|Q366|Q380|Q346|Q319|Q395|Q378|Q365|Q338|Q403|Q332|Q397|Q336|Q347|Q374|Q335|Q383|Q367|Q354|Q409|Q398|Q322|Q373|Q352|Q370|Q379|Q400|Q369|Q329|Q355|Q330|Q410|Q389|Q343|Q340|Q344|Q371|Q349|Q387|Q345|Q404|Q315|Q361|Q406|Q402|Q384|Q372|Q362|Q317|Q401|Q339|Q396,,,,
1083,R_3I6nYOpMOVBV3MY,More Fake,3,2,1,BBC news,61,71,40,32,30,40,41,60,61,21,9,25,79,82,62,0,59,21,5,20,58,65,11,90,15,94,16,12,18,72,66,81,86,0,72,0,91,76,3,0,0,8,0,66,5,69,73,33,64,96,20,66,65,31,21,89,82,77,89,40,93,90,15,77,21,70,13,85,1,26,100,2,90,94,7,93,78,80,94,10,90,72,4,5,5,5,1,1,4,5,5,4,4,1,Democrat,,19,Female,,44ba1afbdef1c7f627e2,,Q44|Q53|Q34|Q36|Q20|Q45|Q29|Q24,Q152|Q170|Q190|Q116|Q143|Q133|Q163|Q151|Q185|Q138|Q126|Q146|Q122|Q182|Q119|Q159|Q174|Q199|Q161|Q175|Q188|Q165|Q200|Q176|Q132|Q149|Q203|Q167|Q118|Q114|Q210|Q180|Q208|Q154|Q117|Q136|Q197|Q183|Q187|Q173|Q160|Q124|Q169|Q130|Q164|Q192|Q189|Q184|Q166|Q162|Q172|Q115|Q206|Q212|Q207|Q120|Q193|Q179|Q204|Q125|Q127|Q123|Q186|Q211,Q279|Q305|Q302|Q265|Q297|Q296|Q281|Q267,,,,,
1199,R_1MQdM86Loj51abi,All True,1,2,3,Titok instagram BBC,61,95,83,33,66,62,43,70,76,73,95,61,35,71,61,72,84,76,36,71,70,15,32,68,66,74,77,76,75,74,66,26,55,77,74,95,74,76,73,77,68,75,33,80,54,71,67,78,74,86,71,78,35,72,70,69,69,78,67,89,73,75,67,77,31,15,37,72,85,26,74,77,72,83,82,31,74,71,72,25,23,55,5,5,4,4,4,1,3,2,5,4,4,5,Democrat,,19,Female,,3f34ba18503f5a592dd9,,,,,Q413|Q371|Q374|Q343|Q379|Q366|Q391|Q326|Q402|Q369|Q398|Q408|Q356|Q315|Q333|Q412|Q396|Q365|Q334|Q403|Q339|Q362|Q349|Q360|Q319|Q342|Q329|Q345|Q359|Q353|Q387|Q331|Q320|Q357|Q380|Q323|Q383|Q314|Q394|Q405|Q368|Q354|Q410|Q407|Q321|Q384|Q375|Q388|Q385|Q346|Q381|Q409|Q338|Q370|Q390|Q404|Q358|Q344|Q348|Q322|Q406|Q392|Q317|Q382|Q337|Q327|Q386|Q363|Q341|Q350|Q389|Q316|Q340|Q395|Q352|Q336|Q361|Q318|Q325|Q372,,,,
2077,R_10ovRcb7CoNIYpy,More Fake,3,1,1,BBC news,30,70,70,100,70,100,40,80,60,0,80,9,75,10,60,0,56,30,80,51,14,60,20,10,60,0,29,30,60,80,0,25,31,90,50,82,61,75,35,10,0,30,10,0,0,80,0,82,10,70,65,25,75,80,71,70,45,76,0,10,9,20,13,80,0,85,0,40,0,0,71,71,61,60,55,18,45,98,44,44,44,60,4,4,3,4,1,2,2,2,4,2,4,4,Democrat,,18,Female,,34e8eed80a2dc7ddb298,,Q55|Q57|Q22|Q31|Q47|Q40|Q32|Q26,Q116|Q157|Q188|Q170|Q200|Q145|Q185|Q183|Q203|Q195|Q160|Q149|Q129|Q135|Q208|Q152|Q150|Q159|Q163|Q190|Q165|Q124|Q134|Q173|Q193|Q186|Q156|Q143|Q114|Q119|Q118|Q181|Q131|Q197|Q177|Q162|Q205|Q211|Q130|Q154|Q172|Q202|Q115|Q179|Q207|Q153|Q133|Q139|Q161|Q189|Q175|Q117|Q132|Q212|Q123|Q125|Q169|Q142|Q148|Q204|Q146|Q155|Q187|Q128,Q273|Q291|Q282|Q292|Q289|Q288|Q309|Q298,,,,,
2074,R_1E58qwr4ZM4e90w,More Fake,4,3,2,"BBC, Sky News",40,51,60,39,80,75,60,50,20,31,53,21,64,25,67,9,0,33,33,35,0,47,60,40,29,64,23,42,28,0,54,28,8,71,70,60,34,0,43,0,40,24,34,31,9,25,50,34,51,31,54,0,23,6,30,65,40,83,9,62,0,0,24,40,0,19,80,10,27,51,60,71,37,41,28,44,46,39,37,63,37,39,4,4,3,4,3,1,3,4,3,2,2,2,Independent,,19,Female,,213b00fce501560e8e07,,Q59|Q49|Q26|Q40|Q31|Q22|Q19|Q35,Q185|Q137|Q178|Q115|Q146|Q140|Q145|Q183|Q158|Q207|Q131|Q133|Q159|Q153|Q148|Q160|Q147|Q128|Q179|Q209|Q181|Q196|Q201|Q161|Q149|Q171|Q199|Q118|Q167|Q184|Q190|Q212|Q116|Q155|Q173|Q156|Q188|Q213|Q193|Q175|Q200|Q122|Q172|Q164|Q123|Q154|Q121|Q206|Q182|Q114|Q134|Q139|Q117|Q138|Q141|Q151|Q187|Q205|Q180|Q197|Q192|Q168|Q198|Q120,Q289|Q279|Q270|Q311|Q274|Q292|Q286|Q275,,,,,
1110,R_2tu6iJA6ZHO9UuS,More Fake,3,2,1,Google News,0,70,87,60,29,95,26,56,88,65,35,75,19,82,57,57,57,72,51,71,59,54,21,76,19,78,76,61,71,71,100,67,42,78,58,33,59,70,72,71,72,77,72,62,24,70,28,73,64,71,72,75,85,63,29,83,76,20,71,11,60,21,59,35,71,80,27,75,71,63,74,44,71,25,71,82,72,70,35,71,30,17,4,4,4,4,2,3,2,2,3,3,2,3,Independent,,18,Female,,d9a48ae7c55d1e4c1e78,,Q57|Q34|Q23|Q54|Q14|Q18|Q49|Q42,Q135|Q136|Q131|Q152|Q127|Q117|Q194|Q128|Q198|Q156|Q210|Q114|Q185|Q167|Q154|Q197|Q158|Q175|Q157|Q208|Q183|Q138|Q181|Q190|Q123|Q170|Q202|Q142|Q149|Q147|Q173|Q133|Q163|Q199|Q176|Q171|Q144|Q179|Q122|Q155|Q187|Q188|Q192|Q161|Q124|Q130|Q160|Q205|Q174|Q145|Q209|Q146|Q165|Q195|Q153|Q191|Q164|Q150|Q203|Q189|Q121|Q206|Q213|Q166,Q275|Q294|Q299|Q312|Q311|Q291|Q279|Q269,,,,,
978,R_3HRqyTWGoyPt4nK,All True,3,2,1,BBC,41,50,62,60,53,62,61,50,50,85,50,29,61,50,53,50,67,61,85,50,19,50,40,71,42,74,81,61,20,40,61,50,61,50,61,50,50,71,54,99,61,42,61,72,50,29,29,50,83,63,58,30,0,50,38,91,19,65,50,28,28,56,50,18,50,50,50,60,62,73,50,50,71,82,63,54,50,82,37,50,17,50,4,2,2,4,2,1,2,4,5,2,3,4,Other,None,18,Female,,b3e07127dd98dbe5fe93,,,,,Q338|Q373|Q394|Q402|Q404|Q385|Q340|Q409|Q395|Q332|Q358|Q374|Q363|Q368|Q319|Q365|Q361|Q366|Q387|Q314|Q328|Q347|Q315|Q406|Q412|Q391|Q351|Q334|Q380|Q359|Q317|Q325|Q345|Q399|Q390|Q392|Q400|Q388|Q339|Q371|Q321|Q405|Q335|Q407|Q330|Q323|Q413|Q396|Q375|Q327|Q379|Q411|Q322|Q343|Q369|Q352|Q350|Q318|Q356|Q393|Q348|Q360|Q384|Q377|Q324|Q353|Q382|Q381|Q320|Q357|Q342|Q386|Q383|Q389|Q333|Q336|Q378|Q341|Q370|Q355,,,,
