StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q7,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q38_1,Q1_4,Q98_4,Q1_4,Q99_4,Q1_4,Q100_4,Q1_4,Q101_4,Q1_4,Q103_4,Q1_4,Q104_4,Q1_4,Q105_4,Q1_4,Q106_4,Q1_4,Q107_4,Q1_4,Q108_4,Q1_4,Q109_4,Q1_4,Q110_4,Q1_4,Q111_4,Q1_4,Q112_4,Q66_1,Q33_1,Q34_1,Q35_4,Q36_1,Q37_1,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q39_10,Q39_11,Q40,Q41,Q41_5_TEXT,Warwick_ResponseID,Warwick_Experimenter,previous_wri,Create New Field or Choose From Dropdown...,wri_valid,Set a Value Now
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to take part in this study?,"Please read this article and answer the question below. 

A Glass of Wine a Day?

Research Confirms Moderate Alcohol Consumption is the Healthy Choice


We've been told for years that drinking alcohol in moderation - having a glass of wine or a beer with dinner each day is not only harmless to our health, but may actually protect our heart and thus help us live longer. This message is part of U.S. national nutrition guidance and is supported by organizations including the American Cancer Society and the American Heart Association.


Recently, some health experts have begun to study exactly how much alcohol can be safely consumed. A new study, published Thursday in The Lancet, examines the long-held conclusion that moderate alcohol consumption is safe. The study found that consuming excess alcohol, defined as more than four drinks in a few hours, is associated with health risks, but that there is a level of drinking that can be considered safe.


""Our results show that the safest level of drinking is no more than two drinks per day,"" the authors of the new study state. "" This level is consistent with most health guidelines, which describe the health benefits of consuming up to two drinks per day.""


Dr. Jonathan Peters, a professor at the University of Cambridge, noted that the study does not account for all benefits of alcohol consumption.


In fact, research published just a few months ago suggested that there are health benefits from drinking the amount identified as safe in the new study. A team of neurologists at the University of California, Irvine, determined that drinking two glasses of beer or wine per day actually decreased chances of premature death by 18
percent.


So what should you do at dinner tonight? The science suggests a little bit of wine with dinner is just fine, and may even benefit your health. - Is this article one-sided?","Please read this article and answer the question below. 

Should You Take Calcium and Vitamin D? 

New Research Confirms the Answer Is No 


One of the most important questions in nutrition science over the past decade has been whether older adults should be taking supplemental vitamin D and calcium. As the world's population ages and broken bones and fractures become even more of a public health concern, researchers have been trying to understand the association between supplements and fracture risk. 



Do calcium and vitamin D supplements help protect the bones? We now have more evidence to answer this question. 



One study published in the Journal of the American Medical Association recently examined this issue by analyzing 33 randomized clinical trials involving more than 50,000 adults over age 50. Each of these previous research papers compared calcium, vitamin D, or both with a placebo (sugar pill) or no treatment. The analysis was focused on older adults who live in the general community and did not include those in nursing homes, hospitals, and other facilities. 



The conclusion was clear: vitamin D and calcium supplements do not seem to prevent bone breaks or hip fractures in those adults. Such supplements had no clear benefit regardless of dose, the gender of the patient, history of fractures, or the amount of calcium in the diet. 



""We should not be telling older adults to take vitamin D and calcium,"" said Dr. Sandra Jones, a prominent nutrition researcher who was not involved in the study. 



Public health research has suggested for a long time that calcium and vitamin D are important to bone maintenance, and the best way to get the daily recommended doses are the natural way. For calcium, that means eating dairy products like milk, cheese, yogurt, or calcium-rich leafy greens. For vitamin D, that means getting some sun exposure. Older adults can also lower their risk of fractures by maintaining a healthy weight and doing exercises to improve strength, balance, and coordination. The science confirms that you should just focus on what we already know to be true: eat well and exercise. - Is this article one-sided?","Please read this article and answer the question below. 

What is the Best Diet for a Healthy Lifestyle? 

A New Study Seeks to Provide Answers 


It's a frequently asked question about diet: How much do carbs really matter when it comes to health? Now, a new study suggests that eating either a low-carb or a high-carb diet raises your risk of death, with people eating carbs in moderation seeing the greatest benefits to their health. 



Less than 40% or more than 70% of your energy or calories coming from carbohydrates was associated with the greatest risk of mortality. Eating moderate levels between that range offered the best options for a healthy lifespan. The lowest risk of an early death was seen where carbs made up 50-55% of a person's diet, according to the study published in The Lancet Public Health. 



The new research seeks to answer the question of which is the best diet for a healthy lifestyle. 



Respected researchers and nutritionists have argued passionately that if we could just consume pasta, bagels, and cookies in moderation, that'd be better than any other diet when it comes to keeping weight off and living a long, healthy life. 



The Lancet study results came as no surprise to some nutrition experts. ""No aspect of nutrition is so frequently discussed as the low-carb versus high-carb question. These data suggest that we shouldn't be eliminating a food staple like carbohydrates from our diet, nor should we be overconsuming them,_ said Jim Levenson, a dietician with Chicago's Northwestern Memorial Hospital. 



This new information about what's the best diet for health has many people thinking about their own carbohydrate consumption. __utrition is high up on everybody's mind with questions about what we should eat. This study gives us some important answers about the right balance of carbs to have in our diet,_ said 56-year-old Wicker Park resident Ruth Collins. - Is this article one-sided?","Please read this article and answer the question below. 

The Scientific Consensus on Global Warming


Climate research shows that the temperature of the Earth has been increasing every decade since the 1970s. It is also established that the burning of fossil fuels releases heat-trapping greenhouse gases into the atmosphere. Greenhouse gas emissions have been directly linked to global warming and climate change. 

A recent survey of scientists has found that the greater their expertise in climate science, the stronger their agreement on human-caused global warming. 

Among climate scientists who are actively publishing research into climate, 97 out of 100 agree that global warming is a direct consequence of the burning of fossil fuels by humans. 

Overwhelming agreement is also found in published climate research. An analysis of 21 years of climate research found that 97.1% of relevant papers agree with the consensus. Papers rejecting the consensus are a vanishingly small minority. Surveys of the climate science community and analysis of published climate research both find the same result. 

Based on the evidence, 97% of climate scientists have concluded that human-caused climate change is happening. Fossil fuel and political groups try to cast doubt on climate science, in order to delay regulation of the fossil fuel industry. They do this by manufacturing the appearance of an ongoing scientific debate. The __ake debate_ strategy was pioneered by the tobacco industry in the 1970s. They used doctors and scientists to reassure the public that smoking didn__ cause health problems. These spokespeople were either non-experts or among the small minority of scientists who dissented from the scientific consensus that smoking is bad for you. 

However, in the public__ eye, this conveyed the appearance of ongoing scientific debate. The __obacco Strategy_ is being used again, but this time to cast doubt on climate science. Less than 3% of climate scientists disagree with the consensus position that humans are causing global warming. However, when the media present the views of a dissenting scientist alongside a mainstream scientist, the public comes away with the mistaken impression of a 50:50 debate. Ironically, the journalistic standard of giving both sides equal weight has ended up distorting the state of climate science. - Is this article one-sided?","Please read this article and answer the question below. 

Leading Physician Groups Discuss When,

How Often Women Should Be Screened For Breast Cancer



Discussion about breast cancer screening for women is underway. Last week the American College of Physicians (ACP) issued its new guidelines on when and how often women should be screened for breast cancer.



TheACP now says that average-risk women should get mammograms every other year, starting at age 50. The group stated that annual mammograms can sometimes do more harm than good, from false positive results to unnecessary biopsies and surgeries. There's plenty of agreement about that, and lots of advice for women. - Is this article one-sided?","Please read this article and answer the question below. 

A Glass of Wine a Day or Just Say No?

Research on the Benefits and Harms of Alcohol Keeps Changing

We've been told for years that drinking alcohol in moderation having a glass of wine or a beer with dinner each day is not only harmless to our health, but may actually protect our heart and thus help us live longer. This message is part of U.S. national nutrition guidance and is supported by organizations including the American Cancer Society and the American Heart Association. 


Now, some health experts have begun to question that dietary advice, given evidence that moderate drinking may not be so harm-less after all. A new study, published Thursday in The Lancet, adds more fuel to the fire, calling into question the long-held conclusion that moderate alcohol consumption is safe. The study found that consuming alcohol is associated with 2.8 million deaths globally each year.


""Our results show that the safest level of drinking is none,"" the authors of the new study state. ""This level is in conflict with most health guidelines, which describe the health benefits of consuming up to two drinks per day.""


However, Dr. Jonathan Peters, a professor at the University of Cambridge, noted that the study does not account for all benefits of alcohol consumption: ""Given the pleasure presumably associated with moderate drinking, claiming there is no 'safe level' is absurd. There is no safe level of driving, but governments do not recommend that people avoid driving.""


In fact, research published just a few months ago suggested that there are health benefits from drinking. A team of neurologists at the University of California, Irvine, determined that drinking two glasses of beer or wine per day actually decreased chances of premature death by 18 percent.


So what should you do at dinner tonight? Unfortunately, the science is too conflicted to tell you a clear story about whether to drink or not. - Is this article one-sided?","Please read this article and answer the question below. 

Should You Take Calcium and Vitamin D?

Benefits of Supplements Cast in Doubt by New Research


One of the most contentious questions in nutrition science over the past decade has been whether older adults should be taking supplemental vitamin D and calcium. As the world's population ages and broken bones and fractures become even more of a public health concern, researchers have been trying to make sense of conflicting studies on the association between supplements and fracture risk.


Do calcium and vitamin D supplements actually help protect the bones? Turns out, it depends who you ask.


A study published in the Journal of the American Medical Association recently took a fresh look at this issue by analyzing 33 randomized clinical trials involving more than 50,000 adults over age 50. Each of these previous research papers compared calcium, vitamin D, or both with a placebo (sugar pill) or no treatment. The analysis was focused on older adults who live in the general community and did not include those in nursing homes, hospitals, and other facilities. 

The conclusion was clear: vitamin D and calcium supplements do not seem to prevent bone breaks or hip fractures in those adults. Such supplements had no clear benefit regardless of dose, the gender of the patient, history of fractures, or the amount of calcium in the diet. ""We should not be telling older adults to take vitamin D and calcium,"" said Dr. Sandra Jones, a prominent nutrition researcher who was not involved in the study.


However, not everyone agreed. Dr. Daniel Howard, another researcher, said the study's conclusions are ""too broad."" He criticized the study for focusing on only the healthiest elderly, those who live at home.


Adding to the confusion, the new study only looked at bone health, and not the benefits or risks of supplements on other conditions. Previous studies have suggested that these supplements can lower risks of conditions like diabetes and certain cancers. 

Public health research has suggested for a long time that calcium and vitamin D are important to bone maintenance, and the best way to get the daily recommended doses are the natural way. For calcium, that means eating dairy products like milk, cheese, yogurt, or calcium-rich leafy greens. For vitamin D, that means getting some sun exposure. Older adults can also lower their risk of fractures by maintaining a healthy weight and doing exercises to improve strength, balance, and coordination. For now, the science is just too mixed to tell you whether you should pay more for a supplement or just focus on what we already know to be true: eat well and exercise. - Is this article one-sided?","Please read this article and answer the question below. 

What is the Best Diet for a Healthy Lifestyle? 

A New Study Sparks the Latest Chapter in a Fiery Debate 

It's probably the most contentious question in the diet wars: How much do carbs really matter when it comes to health? Now, a new study suggests that eating either a low-carb or a high-carb diet raises your risk of death, with people eating carbs in moderation seeing the greatest benefits to their health. 



Less than 40% or more than 70% of your energy or calories coming from carbohydrates was associated with the greatest risk of mortality. Eating moderate levels between that range offered the best options for a healthy lifespan. The lowest risk of an early death was seen where carbs made up 50-55% of a person's diet, according to the study published in The Lancet Public Health. 



The new research is unlikely to end the decades-long debate over the best diet for a healthy lifestyle. 



On one side is a cadre of respected researchers and Atkins, Zone, and Keto diet devotees who argue passionately that if we could just pry ourselves away from the pasta, bagels, and cookies, our weight and health struggles would be over. On the other side are equally reputable researchers and nutritionists who haven't bought into the low-carb claims. They instead argue that most studies show low-carb diets aren't better than any other diet when it comes to keeping weight off and living a long, healthy life. 


The Lancet study results came as no surprise to some nutrition experts. ""No aspect of nutrition is so hotly contested than the low-carb versus high-carb debate. These data suggest that we shouldn't be eliminating a food staple like carbohydrates from our diet, nor should we be overconsuming them,"" said Jim Levenson, a dietician with Chicago's Northwestern Memorial Hospital. 



But for now, conflicting information about what's the best diet for health has many people scratching their heads. __utrition is high up on everybody's mind but there is such confusion about what we should eat. One day, a study is coming out telling us high carb is better, another day a study is telling us low carb is better. Who's to say this latest study is the right answer?"" asked 56-year-old Wicker Park resident Ruth Collins. - Is this article one-sided?","Please read this article and answer the question below. 

Scientists Debate Causes of Climate Change

Scientists have released a controversial new report concluding that humans are causing most of global warming. 

The report is an assessment of different lines of evidence, including thermometer measurements, satellite data and observations of ocean temperature. __here are a number of distinctive patterns being observed in our climate,_ said climate scientist Dr Jason Griffiths from the University of California, one of the lead authors of the report. __ut together, these patterns strengthen the evidence that humans are causing global warming. They also eliminate other possible natural causes._ The report lists different lines of evidence supporting human-caused global warming. __atellites are measuring less heat escaping to space because heat trapping greenhouse gases are absorbing more heat,_ said Dr Jones. __ther expected patterns of greenhouse warming have also been observed. For example, winters warming faster than summers is a characteristic pattern of warming from greenhouse gases._ 


However, other scientists have criticised the report for not including the views of scientists who disagree with the mainstream position. Dr Bertram Pearse, a climate expert from George Mason University, commented, __his report ignores the fact that eminent climate scientists, who have published hundreds of peer-reviewed papers between them, argue that humans have not had a significant effect on climate. 


Climate change is still hotly debated among scientists._ Dr Smith has published studies questioning the link between human activity and climate change. __ key driver of climate is variations in solar activity,_ Smith explains. __he sun provides almost all the energy in our climate system. When the sun gets warmer, our planet gets warmer. Over the last few decades, the sun has been unusually warm, achieving its warmest levels in 1,150 years._ - Is this article one-sided?","Please read this article and answer the question below. 

Leading Physician Groups At Odds Over When,

How Often Women Should Be Screened For Breast Cancer


The debate over breast cancer screening for women is heating up again.



Last week the American College of Physicians (ACP) issued its new guidelines on when and how often women should be screened for breast cancer.



The ACP now says that average-risk women should get mammograms every other year, starting at age 50. The group stated that annual mammograms can sometimes do more harm than good, from false positive results to unnecessary biopsies and surgeries. But there__ plenty of disagreements about that, and more conflicting advice for women to sort through. - Is this article one-sided?",How exhausting has evaluating these articles made you feel? - How exhausted do you feel?,Most people believe that Covid-19 vaccination programme overwhelmed the NHS. - How true do you believe this statement is?,You believe that Covid-19 vaccination programme overwhelmed the NHS. - How true do you believe this statement is?,Most people believe that Brexit has been handled successfully. - How true do you believe this statement is?,You believe that Brexit has been handled successfully. - How true do you believe this statement is?,Most people believe that there are too many superhero movies. - How true do you believe this statement is?,You believe that there are too many superhero movies. - How true do you believe this statement is?,Most people believe that abortion should be paid by the state. - How true do you believe this statement is?,You believe that abortion should be paid by the state. - How true do you believe this statement is?,Most people believe that euthenasia should be legal. - How true do you believe this statement is?,You believe that euthenasia should be legal. - How true do you believe this statement is?,Most people believe that kindergartners should be taught about sex education. - How true do you believe this statement is?,You believe that kindergartners should be taught about sex education. - How true do you believe this statement is?,Most people believe that the British government handled covid expertly. - How true do you believe this statement is?,You believe that the British government handled covid expertly. - How true do you believe this statement is?,Most people believe that modern music is better than music from 50 years ago. - How true do you believe this statement is?,You believe that modern music is better than music from 50 years ago. - How true do you believe this statement is?,Most people believe French food tastes better than Italian food. - How true do you believe this statement is?,You believe that French food tastes better than Italian food. - How true do you believe this statement is?,Most people believe that reading books is good for them. - How true do you believe this statement is?,You believe that reading books is good for people. - How true do you believe this statement is?,Most people believe that quality of life is worse now than it was 50 years ago. - How true do you believe this statement is?,You believe that quality of life is worse now than it was 50 years ago. - How true do you believe this statement is?,Most people believe that cultures should be tolerant of other cultures even if they have different moral values. - How true do you believe this statement is?,You believe that cultures should be tolerant of other cultures even if they have different moral values. - How true do you believe this statement is?,Most people believe that AI generated art is not art. - How true do you believe this statement is?,You believe that AI generated art is not art. - How true do you believe this statement is?,Most people believe that Marijuana should be legal. - How true do you believe this statement is?,You believe that Marijuana should be legal. - How true do you believe this statement is?,How exhausting has evaluating these statements made you feel? - How exhausted do you feel?,To what extent do you agree that a moderate amount of alcohol could be beneficial to your health? - From 0 - 100 is from definitely disagree to definitely agree,To what extent do you agree that we need to take Calcium and Vitamin D supplements? - From 0 - 100 is from definitely disagree to definitely agree,To what extent do you agree that eating carbs in moderation is healthier than a low-carb or a high-carb diet? - From 0 - 100 is from definitely disagree to definitely agree,To what extent do you agree that most women should get mammograms every other year instead of every year? - From 0 - 100 is from definitely disagree to definitely agree,To what extent do you agree that human-activity caused global warming? - From 0 - 100 is from definitely disagree to definitely agree,"For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - Different people can have opposing views on what is true without anyone being wrong","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - People can disagree on what is true without anyone being wrong","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - Two different cultures could have dissimilar judgement rules towards what is true and both be __ight_","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - There is a truthfulness standard that all news should be held to","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - A piece of news is only fake if a person believes it is fake","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - There is a crieterion for evaluating truth independent of personal beliefs","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - The same truth standards should be followed by people from all cultures","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - I feel hopeless attempting to figure out what information is true and what is false","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - There is no point in figuring out what information is true or false because all of it is very misleading.","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - My attempts to determine whether information is true or false do not seem to make any difference.","For each statement below, please select one choice from ""strongly disagree"" to ""strongly agree"" - The amount of information is so overwhelming I give up trying to figure out what is true or false",What is your age?,Gender What is your gender? - Selected Choice,Gender What is your gender? - not listed - Text,Warwick_ResponseID,Warwick_Experimenter,previous_wri,Create New Field or Choose From Dropdown...,wri_valid,Set a Value Now
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID42_4""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID46_4""}","{""ImportId"":""QID54_4""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID43_4""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID1211941170_4""}","{""ImportId"":""QID98_4""}","{""ImportId"":""QID1211941216_4""}","{""ImportId"":""QID99_4""}","{""ImportId"":""QID1211941217_4""}","{""ImportId"":""QID100_4""}","{""ImportId"":""QID1211941218_4""}","{""ImportId"":""QID101_4""}","{""ImportId"":""QID1211941219_4""}","{""ImportId"":""QID103_4""}","{""ImportId"":""QID1211941220_4""}","{""ImportId"":""QID104_4""}","{""ImportId"":""QID1211941221_4""}","{""ImportId"":""QID105_4""}","{""ImportId"":""QID1211941222_4""}","{""ImportId"":""QID106_4""}","{""ImportId"":""QID1211941223_4""}","{""ImportId"":""QID107_4""}","{""ImportId"":""QID1211941224_4""}","{""ImportId"":""QID108_4""}","{""ImportId"":""QID1211941225_4""}","{""ImportId"":""QID109_4""}","{""ImportId"":""QID1211941226_4""}","{""ImportId"":""QID110_4""}","{""ImportId"":""QID1211941227_4""}","{""ImportId"":""QID111_4""}","{""ImportId"":""QID1211941228_4""}","{""ImportId"":""QID112_4""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_4""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID48_7""}","{""ImportId"":""QID48_8""}","{""ImportId"":""QID48_9""}","{""ImportId"":""QID48_10""}","{""ImportId"":""QID48_11""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_5_TEXT""}","{""ImportId"":""Warwick_ResponseID""}","{""ImportId"":""Warwick_Experimenter""}","{""ImportId"":""previous_wri""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""wri_valid""}","{""ImportId"":""Set a Value Now""}"
2023/2/22 4:50,2023/2/22 5:10,Survey Preview,,100,1182,TRUE,2023/2/22 5:10,R_vjoZ8rhw2IbVDRD,,,,,52.4064,-1.5082,preview,EN,I do not consent; I would like to be able to submit the alternative task on Tabula.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/22 5:10,2023/2/22 5:14,Survey Preview,,100,216,TRUE,2023/2/22 5:14,R_1HekwNNyN3wMzf8,,,,,52.4064,-1.5082,preview,EN,I do not consent; I would like to be able to submit the alternative task on Tabula.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/2/22 5:14,2023/2/22 5:26,Survey Preview,,100,720,TRUE,2023/2/22 5:26,R_2ZCjlDhjkLzrNiY,,,,,52.4064,-1.5082,preview,EN,I consent; proceed to the study.,,,,,,,,,,,A little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,20,Female,,,,,,,
2023/2/22 6:54,2023/2/22 6:57,Survey Preview,,100,185,TRUE,2023/2/22 6:57,R_vvmJfCibjnxVUwV,,,,,52.4064,-1.5082,preview,EN,I consent; proceed to the study.,,,,,,,,,,,A little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,20,Male,,,,,,,
2023/3/9 2:59,2023/3/9 2:59,Survey Preview,,100,36,TRUE,2023/3/9 2:59,R_22QvhMEWYgtd19K,,,,,34.7732,113.722,preview,EN,I do not consent; I would like to be able to submit the alternative task on Tabula.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/3/9 4:47,2023/3/9 4:49,Survey Preview,,100,120,TRUE,2023/3/9 4:49,R_XG8x17xgVxPj0UV,,,,,34.7732,113.722,preview,EN,I consent; proceed to the study.,Yes,No,Yes,No,Yes,,,,,,A little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,46,56,53,55,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,24,Female,,,,,,,
2023/3/19 22:01,2023/3/19 22:09,Survey Preview,,100,482,TRUE,2023/3/19 22:09,R_cGDGmYkGLiRquJz,,,,,34.7732,113.722,preview,EN,I consent; proceed to the study.,,,,,,Yes,No,No,Yes,No,A moderate amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,86,41,67,29,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,25,Female,,,,,,,
2023/3/19 22:09,2023/3/19 22:21,Survey Preview,,100,701,TRUE,2023/3/19 22:21,R_24HQUflhm8z9AGI,,,,,34.7732,113.722,preview,EN,I consent; proceed to the study.,,,,,,No,Yes,Yes,Yes,No,A moderate amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,57,44,64,58,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,25,Female,,,,,,,
